name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
El Derecho de Vivir en Paz,El Derecho de Vivir en Paz,Various Artists,2xuYcmQW7sFoVHygnyP2k1,2019-12-13,60,227444,0.462,0.497,0.449,1.44e-05,0.0862,0.348,-7.012,0.0262,151.891,11,3
Animal,Monstrws,Maifersoni,7ic4Himev6f3tpkqWSLX3H,2019-11-08,3,221532,0.628,0.301,0.108,0.899,0.0677,0.0636,-14.263,0.0396,80.033,2,4
Procesion,Monstrws,Maifersoni,3zvHfGWluPyRSlRXhsEqxK,2019-11-08,5,394238,0.555,0.166,0.62,0.8140000000000001,0.112,0.25,-11.732,0.037000000000000005,79.975,2,4
Piratas y Corsarios,Monstrws,Maifersoni,3asAR0FB7LUy1IoerMi9JE,2019-11-08,5,344874,0.652,0.0733,0.541,0.904,0.117,0.0606,-8.132,0.0234,96.503,8,4
No Tengas Miedo,Monstrws,Maifersoni,0UTnY6ZNz9ZKdjLfvMLi06,2019-11-08,3,275532,0.71,0.271,0.653,0.948,0.0874,0.299,-10.912,0.0979,100.036,7,4
Calvario,Monstrws,Maifersoni,4rBCj5A3JtoVwbyjWis46H,2019-11-08,3,351779,0.77,0.00265,0.625,0.823,0.0999,0.0684,-11.343,0.0369,120.031,1,4
Vigilia,Monstrws,Maifersoni,0rbCZWJpJdHQEmdpfg2h04,2019-11-08,3,297387,0.769,0.0829,0.795,0.875,0.0719,0.207,-8.622,0.0499,119.998,7,4
Príncipes - En Vivo,Vamos de Nuevo (En Vivo),Maifersoni,6ebW92emLUkAxUGrS1Z3Sp,2019-07-09,1,729389,0.433,0.0864,0.5429999999999999,0.403,0.0984,0.316,-12.425,0.0429,123.731,2,4
Campo de Acción - En Vivo,Vamos de Nuevo (En Vivo),Maifersoni,2XreVKXGA10KsjYrcRE5Mq,2019-07-09,1,259464,0.5670000000000001,0.531,0.395,0.0416,0.109,0.265,-13.053,0.0348,88.994,6,4
Vamos de Nuevo - En Vivo,Vamos de Nuevo (En Vivo),Maifersoni,4e49mMPM5VKjZdwqTH5tqc,2019-07-09,1,319641,0.5670000000000001,5.720000000000002e-05,0.8740000000000001,0.106,0.123,0.511,-6.561,0.0369,125.028,0,4
