name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Mentira,La Ley MTV Unplugged,La Ley,5Em7MA991Gn3yhheaul0CX,2001-08-28,69,288066,0.643,0.179,0.679,1.4000000000000001e-05,0.7,0.491,-6.3820000000000014,0.0287,132.19899999999998,7,4
El Duelo (feat. Ely Guerra),La Ley MTV Unplugged,La Ley,1BH4LMGVMLBGc9uEJdm8D8,2001-08-28,65,328906,0.34,0.255,0.445,0.000325,0.6940000000000001,0.17,-7.926,0.0305,112.53200000000001,4,4
Sin Despertar,Vuelo,Kudai,1Cafs1zrIyOzF8XPmkSI4p,2004-01-01,61,195666,0.672,0.161,0.779,0.0,0.152,0.725,-5.249,0.0285,97.01700000000001,11,4
Ven aqui,Vida de perros,Los Bunkers,0VyBSVzyZXXB4LnC4a4moo,2005-01-01,61,217849,0.4,0.0285,0.96,0.00010400000000000001,0.141,0.6940000000000001,-4.004,0.29100000000000004,201.905,3,4
Llueve Sobre La Ciudad,Vida de Perros,Los Bunkers,2bQn1ATsEIWwswbsPpOrp9,2007-03-21,59,236426,0.488,0.0387,0.795,0.0,0.0452,0.8029999999999999,-4.157,0.0336,107.846,9,4
"Huellas - Live From Santiago,Chile/1999",Vivo,Joe Vasconcellos,0gaohTJb734s9Av2YzDNQE,2006-01-01,57,375002,0.496,0.0709,0.828,0.00011399999999999999,0.987,0.557,-9.734,0.06,120.13,0,4
Mientele,Vida de perros,Los Bunkers,353rIx4k3T4kU1iLPE3Blx,2005-01-01,55,238422,0.292,0.00381,0.9520000000000001,0.0,0.0881,0.35,-3.44,0.175,207.421,3,4
Inteligencia Dormida,Pedropiedra (Reedición),Pedropiedra,1mMIvrn5k8K6hsjbFgH6fM,2009-01-01,55,231840,0.7809999999999999,0.239,0.56,0.0,0.33299999999999996,0.696,-6.356,0.0491,82.963,2,4
Ven Aquí,Vida de Perros,Los Bunkers,2fkrZEJBfcoH0dWwjYAGqW,2007-03-21,55,217840,0.402,0.0292,0.9570000000000001,6.37e-05,0.14,0.6829999999999999,-4.0280000000000005,0.29600000000000004,201.675,3,4
Fuera de mí,La Ley MTV Unplugged,La Ley,5XH286garUg3tcciTKR50O,2001-08-28,55,298800,0.54,0.259,0.5379999999999999,0.00047699999999999994,0.579,0.261,-8.006,0.0258,137.032,4,4
Enamorado De Ti,Welcome Polinesia,Glup!,6k0jAOjhLufp8IscgoX9pz,2001-07-13,53,203720,0.5770000000000001,0.0489,0.972,4.01e-06,0.276,0.669,-6.428999999999999,0.0679,93.999,11,4
Ahora que no estas,Vida de perros,Los Bunkers,39In3sulCMgKAa29TVQ6gl,2005-01-01,53,351642,0.364,0.00172,0.812,5.29e-06,0.182,0.6970000000000001,-4.31,0.0301,157.358,5,4
Afortunada,Muérdete La Lengua (Edición Especial),Francisca Valenzuela,2oGcLhbdlhz7EOwIqcLTcJ,2008-06-11,53,214240,0.541,0.139,0.665,0.0267,0.11599999999999999,0.22899999999999998,-5.6770000000000005,0.0249,95.484,7,3
Grado 3,Welcome Polinesia,Glup!,0SpADxMGryCt6r9rdlkdZ8,2001-07-13,53,232360,0.551,0.033,0.865,1.59e-06,0.244,0.775,-6.369,0.0723,159.981,7,4
Aquí,La Ley MTV Unplugged,La Ley,3Qm1X6krEOuhWLpgJhOJu7,2001-08-28,51,216733,0.67,0.27899999999999997,0.6990000000000001,1.17e-06,0.701,0.37,-6.591,0.0334,98.285,2,4
Déjame Gritar,Sobrevive,Kudai,0HOFE4DDLocCKtR6qTHnyB,2006-01-01,51,196120,0.64,0.021,0.861,0.0,0.131,0.509,-5.079,0.0351,104.007,0,4
Hablar de Ti,Pánico,Manuel García,6u8L5aiTaBvA45tflwXQR1,2005-04-10,51,252000,0.35700000000000004,0.8340000000000001,0.3,0.00886,0.0732,0.289,-12.243,0.0341,80.657,2,4
Morir De Amor,Nadha (US Version),Kudai,1zy5ipdAoFM2NYIEakUN90,2008-01-01,51,234769,0.6940000000000001,0.135,0.927,2.6300000000000002e-05,0.156,0.971,-5.112,0.0259,124.99799999999999,4,4
No Me Hables de sufrir,La Culpa,Los Bunkers,60xIw1We9dC9yzqKrdC1EK,2003-01-01,51,235000,0.5589999999999999,0.0475,0.721,5.700000000000001e-06,0.242,0.586,-4.449,0.0407,117.68299999999999,2,4
Ahora,Febrero 14,Alberto Plaza,56AP8GZI4KOhbgvx6D5ume,2003-10-27,51,228000,0.532,0.562,0.537,0.0,0.0837,0.365,-5.617999999999999,0.033,143.915,1,4
Peces,Muérdete La Lengua (Edición Especial),Francisca Valenzuela,1wDQYLCxPRyMbvamYJiFIU,2008-06-11,49,233480,0.534,0.00978,0.664,0.0,0.266,0.698,-6.016,0.0242,102.49799999999999,0,4
Fuera De Mí,Uno,La Ley,6seAlnU97UJtaWFWZAVUwW,2000-02-21,49,284933,0.607,0.314,0.419,0.0193,0.38299999999999995,0.494,-9.127,0.0318,136.984,4,4
Mi Destino,Glup,Glup!,01mNrMDaDseSKzrTmRfqKa,2001-01-01,49,205520,0.6629999999999999,0.0863,0.932,0.0,0.078,0.975,-4.388,0.038,137.013,4,4
Cerrar y abrir,Hagalo usted mismo,Los Tres,4IY1bJPbuL8Ys2jqEPIMhh,2006-01-01,49,254253,0.426,0.19,0.634,0.000213,0.105,0.45299999999999996,-6.4879999999999995,0.0248,106.469,7,4
We Are Sudamerican Rockers - 2002 Remaster,We Are Sudamerican Rockers,Los Prisioneros,2Q2zvWmsnfSFBMfqWXeVkD,2006-01-01,49,217703,0.838,0.165,0.621,0.0,0.0735,0.961,-8.736,0.205,141.489,2,4
Dime,Made In Jamaica,Gondwana,6YjkpZPWoDnY2Xbvf9lSWn,2008-01-01,49,256026,0.787,0.114,0.534,5.34e-06,0.113,0.897,-7.779,0.0584,152.131,7,4
Un Amor Violento,Grandes Exitos,Los Tres,1DSWmpfOQZrEAbD0a3RF0u,2007-01-01,49,272866,0.5479999999999999,0.555,0.489,5.16e-06,0.157,0.491,-7.767,0.0328,121.272,9,4
Talvez,Sobrevive,Kudai,2pyrgDXugVb5drtKg3kTGi,2006-01-01,49,211773,0.687,0.0035299999999999997,0.914,3.51e-06,0.26899999999999996,0.743,-3.7430000000000003,0.0308,104.066,10,4
El Pueblo Unido Jamás Será Vencido,Viva Italia,Inti-Illimani,1hcVUv737WNoY1d9BRZpyQ,2007-03-14,49,292040,0.442,0.883,0.506,7.31e-06,0.968,0.256,-10.16,0.11,92.744,7,4
Sin Excusas,Plato Único Bailable,Chico Trujillo,2dmiAdscYWQIhRpbQc5TFm,2008-01-01,49,244200,0.625,0.752,0.45899999999999996,0.0,0.109,0.51,-7.9220000000000015,0.0348,93.68,4,4
Explorador,Justo y Necesario,Fother Muckers,1WuWNzqFRxGngAsTBd83pz,2008-10-15,49,171258,0.7090000000000001,0.0228,0.684,0.0,0.0751,0.728,-5.797999999999999,0.037000000000000005,123.729,8,4
Tú,Sobrevive,Kudai,6QijIAKaV2ijQC4t1I76qF,2006-01-01,47,241146,0.5820000000000001,0.0787,0.784,0.0,0.165,0.529,-5.2860000000000005,0.0323,141.99200000000005,2,4
Una Nube Cuelga Sobre Mí,Barrio Estación,Los Bunkers,56ZuPaIa3XjagOfzRDmMBV,2008-01-01,47,233666,0.625,0.358,0.845,0.0,0.0985,0.912,-5.379,0.0326,111.885,2,4
