name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Mi amor es para ti,Serie Diamante (USA),Los Solitarios,7pVViW51vp66dqaBRkmAv7,1976-03-31,55,173506,0.41700000000000004,0.705,0.40399999999999997,0.0,0.201,0.535,-8.789,0.0329,77.331,2,4
Nada de tu amor,Antología. . . Los Solitarios,Los Solitarios,3N7oZZG0sPkdBITPI7LwYf,1976-03-04,51,173506,0.40399999999999997,0.8029999999999999,0.40299999999999997,0.0,0.12300000000000001,0.26,-8.832,0.0279,76.711,9,4
Sufrir,Antología. . . Los Solitarios,Los Solitarios,5hFkKLE06GhSuqoLJR2oP7,1976-03-04,49,186306,0.489,0.875,0.35700000000000004,0.0,0.0951,0.495,-9.202,0.0291,96.11200000000001,9,4
Ya se va,25 Exitos,Los Solitarios,2YHivNAfXw6rE6hdFcdCsJ,1967-03-26,47,171213,0.436,0.746,0.365,0.0,0.182,0.314,-8.501,0.0272,143.119,4,4
Nunca digas,Serie Diamante (USA),Los Solitarios,4pMyhL7qpkgIquLtn8ukUa,1976-03-31,47,168866,0.40399999999999997,0.00322,0.564,0.0105,0.196,0.851,-10.56,0.0291,93.05,11,4
Hay cosas inolvidables,Antología. . . Los Solitarios,Los Solitarios,5Hjuu63Z7WiQ6hUYx9nTXl,1976-03-04,43,172640,0.39399999999999996,0.584,0.623,0.0,0.228,0.589,-6.801,0.0382,97.039,0,4
Un Minuto de Tu Amor,Los Galos,Los Galos,3DkQ37DCK6ZjGGGHpzhiji,1970-06-13,43,217939,0.33399999999999996,0.547,0.635,3.07e-06,0.21600000000000005,0.435,-5.8420000000000005,0.0301,84.39,2,4
Lo que te queda,25 Exitos,Los Solitarios,6aS1aIY9bpyYRvRRtaG5cq,1967-03-26,39,148240,0.225,0.17800000000000002,0.434,0.0,0.364,0.579,-8.147,0.0292,177.86700000000005,7,3
No dudes de mi amor,Serie Diamante (USA),Los Solitarios,5oNDbLcwCFsQal1b46WZYn,1976-03-31,39,171920,0.552,0.605,0.4920000000000001,2.38e-06,0.131,0.617,-8.919,0.066,94.994,4,4
No debes llorar,12 Grandes exitos Vol. 2,Los Solitarios,19SrvhX7XkfvWwY6kGAv2X,1976-03-04,39,210973,0.5489999999999999,0.276,0.479,6.97e-05,0.138,0.48700000000000004,-9.088,0.0258,81.542,2,4
