name
Maifersoni
Shirel
Chini.png
DJ Dacel
DJ Spacio
Stefano Rojas
Encontraron su Cabeza
Planta Carnívora
Los Indomables
Puta Marlon
René Calderón
Santiago Valenzuela
Epewtufe
Los Choros del Canasto
Latina Sativa
Ruzica Flores
Paula Wapsas
Yih Capsule
Cancamusa
Rvyo
Premium Banana
Lizz
Karla Grunewaldt
Calandria
Dindi Jane
Anto Bosman
Joaquín Muñoz Donoso
Carol Antonia
All Jazzera
Jorge Boig
Phardó
Mainumbi
Ceaese
Calichal
Kamila Govorcin
Madam & Samurai Groove
Panal
Blue Mary
Soulfia
Carmen Maureira
Parresía
Alameda Memoria
Mora Lucay
Abyluz
Lolein
Intrusa
Esteza
Ania Ivania
Soul Robots
Soberanos
Flor de Rap
Cabezas Rojas
Andrea Paz
Las Mairinas
Simón Campusano
Chino Santana
Pancho Miranda
Catana
Diego Muñoz
Camila Vaccaro
Rosario Alfonso
Joaquín Fuentes
Daniela Gatica
Camilo A Secas
María Bonobo
Francisco Victoria
Sophi Lira
Bernarda América
Luciano González
Catártica Animal
Animal en Extinción
Esteban Fonseca
Vicente Cifuentes
Armisticio
Mono o Estéreo?
Gramma
Carmen Lienqueo
Los Tristes
I.O.
Maler
Mousso
Verónica Dosangel
Camila y Silvio
Priscila Ninoska
Giyil
Margus
Vito Rodríguez
Pablo Sáez
Anticueca
Sundaya
Hola Papá
Gabriel Aguilera
Connie Castro
Migrantes
Malicia
Mi Concepto de Color
Fanny Leona
Paloma Mami
DrefQuila
Pablo Chill-E
Pancho Domínguez
Lite Ruiz
Mara Sedini
Felipe Catrilef
José Moraga
Pillanes
Beto Cuevas
Volcanes Submarinos
Mitcheaux
Perno
Cecilia del Real
Lican Antay
Fernanda Leiva
Lorena Erpel
Francesca Santoro
Nova Materia
Raúl Gardy
Diapasón Porteño
Nara de Shile
Marisole Valenzuela
Benito Cereno
Efraín Navarro
Semilla
Lautaro Manquilef
Hermanos Morales
Viva Australis
David Poblete
Cari Monteci
Max Zegers
Víctor Alarcón
Las Comaires
Daniel Miranda
De Patienquincha
Neven Ilic
Martina Petric
The Dagger Complex
André Ubilla
Negros de Harvar
Sandra Aguilera
Gianluca
The Holydrug Couple
Carla Casas-Cordero
Consuelo Montero
Mila Illanes
La Belle Epoque
Jonas Sanche
Motivado
El Cómodo Silencio de los que Hablan Poco
Concepción 14
Las Olas
Círculo Polar
Princesa Alba
Sebastián Errázuriz
Lechero Mon
Martina Lluvias
Halchic
Malú Mora
Mecha
Crisantemo
Luanko
Las Mononas
Veró
Daniela Serey
Marez
Paula Sol
Bronko Yotte
Kim Queenland
Fernando Raín
Gabigar
Allel
Julio Piña
Rumberos del 900
Martín Benavides
Ajayu
Carolina Carrera
Los Marginales
Andrea Gutiérrez
René Gatica
Talulah Neira
Kabeza de Toro
Klaun
Isabela Ro
La Nueva Imperial
Parálisis del Sueño
Slowkiss
De Mónaco
Valesuchi
Spiral Vortex
Felipe Grandón
Daniela Medel
Las del Puerto
Claudia Manzo
Camileazy
Zonora Point
Kaya & Quichra
Paz Binimelis
Celibatos
Bandada
Altavoz
Lanza Internacional
Paulo Rojas
Los Dos Maulinos
Carla Valenti
Ciey
Carlos Saunier
Juan Pablo Salvo
Souvlaki
Matycez
Felipe Duhart
Trío La Tortuga
Nicole Nietzschmann
Florencia Gallardo
Rubio
Black Angels
Ram y Los Mixes
Porfirio Díaz
Calú
Antonio Smith
Alain Johannes
Playa Gótica
Teatro de Ocasión
José Pablo Catalán
Los Patapelá
Marcela Moreira
Claudia Mena
DJ Who
Emisario Greda
Borne y Los Santos
Javi Cruz
Los Celestinos
País Violento
Los Otros
Tiano Bless
América Paz
De Perilla
Geraldine Thenoux
Mauricio Nader
Claudio González
Isabela
Ya se Fueron
Fernando Rosas
Franja de Gaza
Daniela Foueré
Luz Cuadros
Ajimsa
Lydwina Simon
Isa Bornau
Kalfu
Maximiliano Flynn
Los Valentina
Caterina J
Tomasa del Real
Niña Tormenta
Juan Pablo Jaramillo
Paloma Soto
Hindustani
Dania Neko
Carolina Mestrovic
Claudia Aguilera
Iza el Alma
Cristóbal Briceño
MKRNI
Ensamble Nodo
Wentru
Mowat
Loreto
Christian Hirth
Caraslargas
Cristóbal Piña
Disket
Sil Romero
Eulogio Dávalos
Natalie Yunis
Francisco Gana
Paulina Pérez
Niños del Cerro
Amarga Marga
Los del Mapocho
Tania Jozz
Medio Hermano
Daniela Amaya
Actitud Franka
Patio Solar
Las Chinas Cholas
Sahara Inn
López
Liricistas
Alejandro Pino
Los Temibles Sandovales
MC Piri
Tomás Gubbins
Gonzalo Sorich
Ana Margarita
C/VVV
Valentina Villarroel
Lady Sharon
Le Fruto
Testa
La BIG Rabia
Pablo Ardouin
Los Sayas
JuanaRosa
Mauricio Venegas Astorga
Huara
Bordelestino
Cristina Santiagos
Carlos Fuentes
Enzo Massardo
Pascuala Ilabaca
Crisálida
Travesía
Sergio Valenzuela
Trementina
Giovanna Arce
Aira
Sara Pozo
Cami
Huaico
Félix Cárdenas
Orquesta Andina
Tamara Quijada
Javier Valdebenito
Pablo Galarce
Velódromo
Leo Saavedra
Breaking Forms
Tus Amigos Nuevos
Glo Herrera
Amapola Puz
Diego Lorenzini
Daniela Millaleo
Cleopatras
Ramírez Neira
Arranquemos del Invierno
Golosa la Orquesta
Zeptelar
LaSmala
Catalina Celedón
Newen Afrobeat
La Machi
Canto Crisol
Felipe Cussen
Planeta No
Santos de Greda
Jayu
Los Días Contados
Décima Orquesta
Tephiret
La Minga
Sankara
Fran Sfeir
Manuela Paz
Dulce y Agraz
Pablo Jara
Ramona Estrella
Solange
Juanita La O
Luchín Salinas
Alfredo Tauber
Milena Sax
Maca del Pilar
Portavoz
Yayo Durán
David DeFlores
Bastián Herrera
Camila Riestra
Felipe Laborde
David Azán
Carlos Pimentel
Trinidad Alliende
Nicasio Luna
Gabriel Rammsy
Pilar Aragón
Lourdes Liss
José Manuel Lattus
Rocko de la Rosa
Valentina Marinkovic
Alejandro Zahler
Jasper Huysentruyt
Vale Moï
Natalia Barahona
Estefanía D'Alençon
EyMacarena
Natalia Ramírez
Mauricio Garay Cid
Entrópica
Doña Jose
América Joven
Reina Isabel
Arena Quinteto
Big Guns
Mapocho Orquesta
Cuerpo F
Ojo de Vidrio
Taconeras
Hidalgo
Los Trianeros
Orquesta de Poetas
Yorka
Modesto Medio
Trostrigo
Camilo Eque
Javiera Hinrichs
Raimundo Barría
Corderolobo
Maite Solana
Ricardo Acevedo
Nea Agostini
Eduardo Soto
Alejandro Castro
Mariela Montero
Enrique Kaliski
Ivo Yopo
Marilda
Tomás del Real
Karin Krüger
Juan Ayala
Marcela Parra
Naara Andariega
Liliana Riquelme
Kevin & Karla
Marineros
Kuervos del Sur
RVSB
Somos Manhattan
Los Verdaderos Cabrera
Jimmy Pólvora
We Are the Grand
LaBanda en Flor
Los del Maipo
Pamela Jiménez
K-Bust
Marcelo Jara
Vanessa Valdez
Javiera Barreau
Simón González
Carola Guttmann
Claudia Melgarejo
Francia Valdés
Zambrano
Felicia Morales
Daniela Ginestar
Gonzalo Ostornol
Natalia Tabilo
Santa María
Christian Spencer
La Pájara
Matías Saavedra
Pedro Leal
Prehistöricos
Planeta Minimal
Alex & Daniel
Fakinmono
Seidú
Los Plumabits
Achú
Las Morenitas
Niño Cohete
Paztitas
Jorge Bravo
Francisco García Sánchez
Marcelo de la Puebla
Cristián Alvear
Jennifer Boldt
Lucía Covarrubias
Manuel Páez
Sofía Tupper
Dominique Leiva
Rodrigo Maureira
Andrea Andreu
Felipe Schuster
Guillermo Eisner
Javier Farías
Fernando Ugarte
Gonzalo Gómez
Soledad Vélez
Barbarah
Carlos Dávila
Madriela Marchant
Piero Duhart
Demian Rodríguez
Bruno Riveros
Cóndor Jet
Klaine Trío
Los Flamingos
Los Príncipes
Abya Yala
Ases Falsos
Vendaval
Las Pecadoras
Madvanna
Megapuesta
Absolutos
Escaso Aporte
Manu da Banda
Zeraus
Mákina Kandela
Survey Team
Diego Aguirre
Ignacia Navarrete
Eduardo Waghorn
Elizabeth Coli
Próspero Bisquertt
Fabiola Harper
Alejandro Gaete
Perla
Mauricio Barraza
Carla
Anita Veas
Sergio Járlaz
Daniela Ropert
Argel
Martín Pescador
Julia Grisenti
Daniel Puente Encina
Carlos Pacheco Torres
Claudio Villanueva
Cecilia Gutiérrez
Mosquitas Muertas
Asteroide
Chilombiana
Aoraquï
Kali Mutsa
La MoleStar Orquesta
Criminal Jazz
Horregias
Vigga
Swinger
Las Consentidas
Baobab
Merkén
Sexto Piso
Paola Josefina
MC Billeta
Enrique Soro
Alfonso Leng
Jorge Urrutia Blondel
Eduardo Maturana
Miguel Letelier
Elena Venechi
Carlos Ledermann
Darek
Kella Stambuk
Pablo Aguirre
María Paz Santibáñez
Vilú
Tyanna
Colombina Parra
Juan Pablo Abalo
Tata Barahona
Francisca Rivas
Altazores
Tunacola
Periferia
Marcela Thais
Manu Carrasco
Magaly Acevedo
Zafiro
Santino
Hugo Arévalo
Camila Silva
Miguel Tapia
Juanjo Montecinos
Viviana Guzmán
Paz Miranda
Salomé Anjarí
Vicencio Navarro
Daniel Chiang
Andrés Márquez
Muriel Lama
Carlos Isamitt
Sebastián Castro
Juan Villarroel
Julius Popper
La Reina Morsa
Meridiano
Bizikleta
Bajutopía
Santiago Downbeat
Cocodrilos con Martini
Riveira
Los Halcones Negros
Quitrú
Shunyata
Paulina Rojas
Sofía Oportot
Nazareno
Samuel Concha
Silvio Paredes
Bárbara Vos
Marcos Meza
Alexandra Vega
Oddó
Juga di Prima
Paquita Rivera
Gricelle
Kinética
Valentino Baos
Lito Celis
Cecilia Concha Laborde
Los Prana
The Plugin
Kafod
Las Primas
Krishna Sambandha
Dieter Schmigelok
Felipe Caballero
Carlos Grilli
Rubén Álvarez
Paula Rivas
Victoria Mus
Roberto Bravo
Jordan
Marco Andreu
Vitami
DJ Caso
Paz Mera
Fakuta
Edra Silva
Rodrigo Iter
Mako
Cristián Valdivia
Jano Letelier
Constanza Herrero
Leo Rey
Natalia Corvetto
María Illanes
Deplasticoverde
Natalia Contesse
María Colores
Sebastián González
Vesta Lugg
Noche de Brujas
Galatea
Astro
Mala Junta
Intimate Stranger
Amanitas
Lucho Castillo
Manuel Gatti
Katherine Muñoz
El Romancero de Nahuelbuta
Diego Álvarez
Francisca Meza
Humberto Gatica
Jorge Delaselva
Pau Tobar
Belén Robert
Altamar
La Gallera
Cine Marte
La Guacha
Los Charros de Lumaco
Emilio
Mandala
La Gran Magia Tropical
Reggaeton Boys
La Cumbia de Patricio Cobarde
Villa Cariño
Chorizo Salvaje
Combo Ginebra
Trancemission
Los Rockers
Santa Feria
Los Benjamines
Carol Kresse
Koala Contreras
Claudio Valenzuela
Carito Plaza
Vasti Michel
Seo2
Rocío Peña
Rodrigo Álvarez
Sebastián Gómez
Lua de Morais
Felo
Salvaje Decibel
Tréboles
Mawashi
Tizana
Alma
Colectivo Cantata Rock
Cevladé
Subverso
Germán Espinosa
Aiken
Espartaco
Asunto
Shamanes
Movimiento Original
La Bandita del Domingo
Laura Serrano
Karen Olivier
Matías Cena
Camila Moreno
Pier Bucci
Carolina Nissen
Cabrera
